IMBD title ID,Original Title,Release-year,Genre,Duration,Country,Content Rating,Director, Income , Votes ,Score,,,
tt0119217,Good Will Hunting,06/03/1998,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0208092,Snatch,16/03/2001,Comedy,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0180093,Requiem for a Dream,15/12/2000,Drama,102,USA,R,Darren Aronofsky," $7,390,108 ",748.291,7.8,,,
tt0066921,A Clockwork Orange,07/09/1972,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0435761,Toy Story 3,07/07/2010,Animation,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0086250,Scarface,24/02/1984,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0075314,Taxi Driver,24/12/1976,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0211915,Le fabuleux destin d'Amélie Poulain,25/01/2002,Comedy,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0093058,Full Metal Jacket,09/10/1987,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0090605,Aliens,24/09/1986,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0062622,2001: A Space Odyssey,12/12/1968,Adventure,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0033467,Citizen Kane,25/11/1948,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt8579674,N/A,23/01/2020,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0086879,Amadeus,15/02/1985,Biography,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0052357,Vertigo,18/11/1958,Mystery,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0053125,North by Northwest,28/10/1959,Adventure,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt2106476,Jagten,22/11/2012,Drama,115,Denmark,R,Thomas Vinterberg," $15,843,274 ",269.616,7.5,,,
tt0056172,Lawrence of Arabia,29/10/1963,Adventure,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0070735,The Sting,21/03/1974,Comedy,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0082096,Das Boot,18/03/1982,Adventure,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0059578,Per qualche dollaro in più,20/12/1965,Western,132,Italy,No Rating,Sergio Leone," $15,000,000 ",226.039,7.4,,,
tt1832382,Jodaeiye Nader az Simin,21/10/2011,Drama,123,Iran,PG-13,Asghar Farhadi," $22,926,076 ",214.165,7.4,,,
tt0045152,Singin' in the Rain,05/02/1953,Comedy,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
